Código do Nível Geográfico;Nível Geográfico;Código do Item Geográfico;Item Geográfico;Ordem Geográfica;Código do Item Temporal;Nível Temporal;Item Temporal;Emigrante, sexo;Emigrante, sexo (código);Emigrante, sexo (ordem);Frequência;Observações
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;Masculino;1;1;5170;329
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;Feminino;2;2;5572;357
9235;Município (2010);4100202;ADRIANÓPOLIS;2;2010;8030;31/07/2010;Masculino;1;1;X;X
9235;Município (2010);4100202;ADRIANÓPOLIS;2;2010;8030;31/07/2010;Feminino;2;2;X;X
9235;Município (2010);4100301;AGUDOS DO SUL;3;2010;8030;31/07/2010;Masculino;1;1;X;X
9235;Município (2010);4100400;ALMIRANTE TAMANDARÉ;4;2010;8030;31/07/2010;Masculino;1;1;X;X
9235;Município (2010);4100400;ALMIRANTE TAMANDARÉ;4;2010;8030;31/07/2010;Feminino;2;2;89;8
9235;Município (2010);4101200;ANTONINA;5;2010;8030;31/07/2010;Masculino;1;1;X;X
9235;Município (2010);4101200;ANTONINA;5;2010;8030;31/07/2010;Feminino;2;2;X;X
9235;Município (2010);4101804;ARAUCÁRIA;6;2010;8030;31/07/2010;Masculino;1;1;X;X
9235;Município (2010);4101804;ARAUCÁRIA;6;2010;8030;31/07/2010;Feminino;2;2;139;14
9235;Município (2010);4103107;BOCAIÚVA DO SUL;8;2010;8030;31/07/2010;Feminino;2;2;X;X
9235;Município (2010);4104006;CAMPINA GRANDE DO SUL;9;2010;8030;31/07/2010;Masculino;1;1;X;X
9235;Município (2010);4104006;CAMPINA GRANDE DO SUL;9;2010;8030;31/07/2010;Feminino;2;2;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;10;2010;8030;31/07/2010;Masculino;1;1;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;10;2010;8030;31/07/2010;Feminino;2;2;X;X
9235;Município (2010);4104204;CAMPO LARGO;11;2010;8030;31/07/2010;Masculino;1;1;89;10
9235;Município (2010);4104204;CAMPO LARGO;11;2010;8030;31/07/2010;Feminino;2;2;96;9
9235;Município (2010);4104253;CAMPO MAGRO;12;2010;8030;31/07/2010;Masculino;1;1;X;X
9235;Município (2010);4104253;CAMPO MAGRO;12;2010;8030;31/07/2010;Feminino;2;2;X;X
9235;Município (2010);4105805;COLOMBO;14;2010;8030;31/07/2010;Masculino;1;1;148;15
9235;Município (2010);4105805;COLOMBO;14;2010;8030;31/07/2010;Feminino;2;2;111;11
9235;Município (2010);4106209;CONTENDA;15;2010;8030;31/07/2010;Masculino;1;1;X;X
9235;Município (2010);4106209;CONTENDA;15;2010;8030;31/07/2010;Feminino;2;2;X;X
9235;Município (2010);4106902;CURITIBA;16;2010;8030;31/07/2010;Masculino;1;1;3869;184
9235;Município (2010);4106902;CURITIBA;16;2010;8030;31/07/2010;Feminino;2;2;4083;197
9235;Município (2010);4107652;FAZENDA RIO GRANDE;17;2010;8030;31/07/2010;Masculino;1;1;X;X
9235;Município (2010);4107652;FAZENDA RIO GRANDE;17;2010;8030;31/07/2010;Feminino;2;2;X;X
9235;Município (2010);4109500;GUARAQUEÇABA;18;2010;8030;31/07/2010;Masculino;1;1;X;X
9235;Município (2010);4109609;GUARATUBA;19;2010;8030;31/07/2010;Masculino;1;1;X;X
9235;Município (2010);4109609;GUARATUBA;19;2010;8030;31/07/2010;Feminino;2;2;X;X
9235;Município (2010);4111258;ITAPERUÇU;20;2010;8030;31/07/2010;Feminino;2;2;X;X
9235;Município (2010);4113205;LAPA;21;2010;8030;31/07/2010;Masculino;1;1;X;X
9235;Município (2010);4113205;LAPA;21;2010;8030;31/07/2010;Feminino;2;2;X;X
9235;Município (2010);4115705;MATINHOS;23;2010;8030;31/07/2010;Masculino;1;1;X;X
9235;Município (2010);4115705;MATINHOS;23;2010;8030;31/07/2010;Feminino;2;2;89;9
9235;Município (2010);4116208;MORRETES;24;2010;8030;31/07/2010;Masculino;1;1;X;X
9235;Município (2010);4116208;MORRETES;24;2010;8030;31/07/2010;Feminino;2;2;X;X
9235;Município (2010);4118204;PARANAGUÁ;25;2010;8030;31/07/2010;Masculino;1;1;203;20
9235;Município (2010);4118204;PARANAGUÁ;25;2010;8030;31/07/2010;Feminino;2;2;233;21
9235;Município (2010);4119103;PIÊN;26;2010;8030;31/07/2010;Masculino;1;1;X;X
9235;Município (2010);4119152;PINHAIS;27;2010;8030;31/07/2010;Masculino;1;1;87;9
9235;Município (2010);4119152;PINHAIS;27;2010;8030;31/07/2010;Feminino;2;2;219;21
9235;Município (2010);4119509;PIRAQUARA;28;2010;8030;31/07/2010;Masculino;1;1;106;9
9235;Município (2010);4119509;PIRAQUARA;28;2010;8030;31/07/2010;Feminino;2;2;X;X
9235;Município (2010);4119954;PONTAL DO PARANÁ;29;2010;8030;31/07/2010;Masculino;1;1;34;7
9235;Município (2010);4119954;PONTAL DO PARANÁ;29;2010;8030;31/07/2010;Feminino;2;2;38;8
9235;Município (2010);4120101;PORTO AMAZONAS;30;2010;8030;31/07/2010;Feminino;2;2;X;X
9235;Município (2010);4120804;QUATRO BARRAS;31;2010;8030;31/07/2010;Masculino;1;1;X;X
9235;Município (2010);4120804;QUATRO BARRAS;31;2010;8030;31/07/2010;Feminino;2;2;X;X
9235;Município (2010);4121208;QUITANDINHA;32;2010;8030;31/07/2010;Masculino;1;1;X;X
9235;Município (2010);4122206;RIO BRANCO DO SUL;33;2010;8030;31/07/2010;Masculino;1;1;X;X
9235;Município (2010);4122305;RIO NEGRO;34;2010;8030;31/07/2010;Masculino;1;1;X;X
9235;Município (2010);4125506;SÃO JOSÉ DOS PINHAIS;35;2010;8030;31/07/2010;Masculino;1;1;230;23
9235;Município (2010);4125506;SÃO JOSÉ DOS PINHAIS;35;2010;8030;31/07/2010;Feminino;2;2;247;24
9235;Município (2010);4127601;TIJUCAS DO SUL;36;2010;8030;31/07/2010;Masculino;1;1;X;X
9235;Município (2010);4127601;TIJUCAS DO SUL;36;2010;8030;31/07/2010;Feminino;2;2;X;X
9235;Município (2010);4127882;TUNAS DO PARANÁ;37;2010;8030;31/07/2010;Masculino;1;1;X;X
9235;Município (2010);4127882;TUNAS DO PARANÁ;37;2010;8030;31/07/2010;Feminino;2;2;X;X
