Sexo;Faixa Etária;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Mulheres;Menor 1 ano;512;425;493;449;460;400;365;326;302;290;239;241;262;238;253;245;239;236;219;221;220;206;181;187;147;139
Mulheres;1 a 4 anos;88;99;104;62;66;75;58;75;46;67;47;47;37;39;26;32;38;34;35;33;37;31;26;35;17;19
Mulheres;5 a 9 anos;46;45;53;43;42;30;35;37;34;35;31;23;33;17;25;16;20;16;15;29;19;24;12;18;9;14
Mulheres;10 a 14 anos;58;26;44;40;37;24;45;36;29;34;45;35;39;34;26;28;31;33;24;23;19;21;18;19;21;24
Mulheres;15 a 19 anos;72;90;95;59;73;67;74;75;72;79;79;65;85;81;92;66;69;76;58;42;52;73;37;41;43;51
Mulheres;20 a 29 anos;215;205;198;204;188;187;173;174;205;189;209;202;187;232;194;187;168;135;173;165;149;128;134;145;177;250
Mulheres;30 a 39 anos;277;330;316;330;306;285;298;297;318;289;306;280;278;284;291;267;315;297;262;268;286;270;267;259;290;494
Mulheres;40 a 49 anos;491;513;596;503;522;503;534;546;491;508;519;495;547;571;547;586;527;576;492;537;515;513;492;495;579;1064
Mulheres;50 a 59 anos;717;713;769;810;801;804;876;807;884;838;848;854;929;922;892;945;939;974;883;970;969;956;936;943;1113;1982
Mulheres;60 a 69 anos;1235;1223;1204;1227;1215;1196;1207;1219;1250;1199;1263;1186;1332;1284;1382;1372;1342;1386;1408;1390;1510;1529;1580;1506;1963;2842
Mulheres;70 a 79 anos;1385;1337;1415;1500;1557;1533;1598;1612;1693;1679;1711;1724;1784;1706;1850;1787;1850;1936;1853;1876;2009;1935;2069;1974;2443;3302
Mulheres;80 anos e mais;1346;1380;1389;1406;1483;1526;1634;1761;1882;1723;2020;2056;2198;2264;2507;2564;2641;2895;2935;3036;3325;3286;3487;3537;3872;4661
Mulheres;Idade ignorada;24;19;21;19;8;2;2;2;8;11;6;3;3;1;0;5;4;1;1;5;0;1;0;1;3;0
Mulheres;Total;6466;6405;6697;6652;6758;6632;6899;6967;7214;6941;7323;7211;7714;7673;8085;8100;8183;8595;8358;8595;9110;8973;9239;9160;10677;14842
Homens;Menor 1 ano;729;639;648;560;542;492;444;428;363;351;327;310;335;296;316;291;311;265;284;291;257;242;251;206;198;195
Homens;1 a 4 anos;98;102;101;92;99;87;72;71;79;55;64;60;45;51;40;48;46;47;31;32;42;37;49;45;25;29
Homens;5 a 9 anos;63;60;49;50;67;40;60;59;36;55;38;28;36;36;33;26;23;29;22;23;21;20;16;18;18;19
Homens;10 a 14 anos;90;78;54;55;58;67;59;54;54;61;70;74;66;55;59;58;52;60;44;34;40;28;31;24;27;28
Homens;15 a 19 anos;223;224;223;233;294;237;279;296;334;392;336;403;394;409;394;373;320;319;310;291;300;218;201;198;159;149
Homens;20 a 29 anos;711;730;635;700;678;730;763;814;839;913;913;917;1013;1096;1037;962;914;810;817;808;813;687;657;596;654;763
Homens;30 a 39 anos;846;842;794;741;754;772;733;764;827;814;843;799;857;907;879;912;865;858;847;724;752;720;685;613;789;1154
Homens;40 a 49 anos;938;948;1010;981;1028;948;993;1065;1093;1060;1043;1058;1119;1170;1096;1177;1024;1052;1031;999;1005;881;925;862;1054;1851
Homens;50 a 59 anos;1176;1139;1236;1257;1239;1219;1276;1376;1424;1354;1475;1416;1535;1486;1628;1597;1529;1553;1535;1597;1621;1506;1551;1518;1961;3208
Homens;60 a 69 anos;1548;1624;1610;1700;1640;1633;1652;1656;1699;1617;1630;1739;1842;1786;1799;1843;1865;1993;1958;2036;2188;2057;2173;2283;2902;3809
Homens;70 a 79 anos;1498;1432;1609;1584;1695;1642;1714;1864;1826;1727;1885;1957;1908;1998;1934;1994;1943;2114;2028;2128;2297;2106;2265;2382;3016;3855
Homens;80 anos e mais;901;944;1023;993;1070;1099;1149;1285;1374;1324;1340;1399;1557;1616;1673;1821;1805;1838;1963;1981;2240;2268;2327;2434;2827;3386
Homens;Idade ignorada;91;60;129;85;40;3;14;51;61;109;38;28;8;6;7;8;6;5;7;8;2;7;7;3;5;15
Homens;Total;8912;8822;9121;9031;9204;8969;9208;9783;10009;9832;10002;10188;10715;10912;10895;11110;10703;10943;10877;10952;11578;10777;11138;11182;13635;18461
