Idade da mãe;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
10 a 14 anos;330;358;417;436;447;366;359;397;356;338;295;316;368;380;332;354;345;309;345;349;323;298;226;203;158;152;131;111
15 a 19 anos;9997;10625;11518;11576;11833;11735;10950;10697;9891;9046;8943;8851;8770;8479;8379;8397;8327;8123;8254;8514;7907;7549;6556;5761;5265;4698;4147;3710
20 a 24 anos;16064;15589;16120;16288;15810;16777;15521;14853;14904;13777;13787;13314;12755;12113;12439;12237;12408;12448;12460;12265;12344;12346;11313;11209;10937;10621;10275;9707
25 a 29 anos;13651;13203;13412;13527;13488;13744;13153;12531;12648;11997;12126;12205;12151;12059;12750;12209;12415;12692;12487;12210;12503;12481;12149;11929;11759;11370;11055;10682
30 a 34 anos;7944;7948;8440;8721;8705;8793;8954;8593;8506;8440;8607;8555;8769;8715;9284;9507;9994;10316;10939;10963;11435;11309;10973;11100;10725;10565;10061;9510
35 a 39 anos;3134;3218;3477;3564;3801;4062;3961;4050;4204;4028;4215;4245;4262;4462;4716;4596;4913;4951;5218;5450;5872;6334;6329;6704;6871;6881;6319;6107
40 a 44 anos;772;747;774;788;893;885;904;961;979;989;990;1027;1041;1046;1147;1188;1143;1180;1217;1342;1245;1431;1455;1512;1599;1597;1693;1618
45 a 49 anos;69;75;82;58;73;78;62;54;53;44;52;45;73;58;69;43;73;68;59;72;70;78;81;96;68;85;84;92
50 a 54 anos;1;6;6;3;5;4;1;2;0;0;0;1;3;3;3;4;1;2;2;1;12;7;4;4;5;0;2;3
55 a 59 anos;1;4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3
60 a 64 anos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Idade ignorada;4407;1717;1149;665;399;360;90;64;14;10;14;17;2;6;6;0;3;1;0;0;0;0;2;0;0;0;0;0
