Município;1996;2000;2010;2022
Adrianópolis;7339;7518;7106;6256
Agudos do Sul;6443;8803;8057;10233
Almirante Tamandaré;89410;105181;105787;119825
Araucária;76684;117060;115385;151666
Balsa Nova;8745;11799;11424;13395
Bocaiúva do Sul;8583;11273;10638;13281
Campina Grande do Sul;31444;40385;40062;47799
Campo do Tenente;5722;7692;7168;7508
Campo Largo;82972;110679;111226;136327
Campo Magro;0;25073;24471;29879
Cerro Azul;17107;18879;17643;16134
Colombo;153698;215183;218526;232056
Contenda;12332;16052;15575;19128
Curitiba;1476253;1716661;1859162;1773733
Doutor Ulysses;5662;6752;6172;5697
Fazenda Rio Grande;45299;80013;79477;148873
Itaperuçu;17603;24093;23714;31217
Lapa;39967;47488;46462;45003
Mandirituba;15218;22128;21302;27434
Piên;8771;11798;11202;13655
Pinhais;89335;117251;121714;127019
Piraquara;52486;94380;88343;118730
Quatro Barras;13901;19738;19502;24191
Quitandinha;14058;18156;16823;18398
Rio Branco do Sul;23212;33690;32135;37558
Rio Negro;27824;32405;32595;31324
São José dos Pinhais;169035;254522;256320;329222
Tijucas do Sul;11559;15268;13982;17606
Tunas do Paraná;3426;5810;5177;6219
